Company,Dividend Declared (Rs/Share),Dividend Payout %,CMP,FY,Announcement Date,Market Cap,Years Since Listing,Source
Credo Brands Marketing Ltd,0.5,6.9,84.35,FY2025,2024-08-21,Rs 551 Cr,0.7,"BSE Corporate Actions — scrip 544058, ex-date 2024-08-21 (https://www.bseindia.com/corporates/corporate_act.aspx)"
Gland Pharma Ltd,20.0,25.4,2425.4,FY2025,2024-08-16,"Rs 40,024 Cr",3.7,"BSE Corporate Actions — scrip 543245, ex-date 2024-08-16 (https://www.bseindia.com/corporates/corporate_act.aspx)"
Bharti Hexacom Ltd,4.0,11.5,1610.05,FY2025,2024-08-16,"Rs 80,725 Cr",0.3,"BSE Corporate Actions — scrip 544162, ex-date 2024-08-16 (https://www.bseindia.com/corporates/corporate_act.aspx)"
Capital Small Finance Bank Ltd,1.2,3.6,299.3,FY2025,2024-08-16,"Rs 1,364 Cr",0.5,"BSE Corporate Actions — scrip 544120, ex-date 2024-08-16 (https://www.bseindia.com/corporates/corporate_act.aspx)"
Transindia Real Estate Ltd,0.5,49.0,24.6,FY2025,2024-08-16,Rs 604 Cr,1.0,"BSE Corporate Actions — scrip 543955, ex-date 2024-08-16 (https://www.bseindia.com/corporates/corporate_act.aspx)"
KK Shah Hospitals Ltd,0.5,N/A,38.99,FY2025,2024-08-16,N/A,0.8,"BSE Corporate Actions — scrip 544013, ex-date 2024-08-16 (https://www.bseindia.com/corporates/corporate_act.aspx)"
ASK Automotive Ltd,1.0,8.6,514.05,FY2025,2024-08-09,"Rs 10,137 Cr",0.7,"BSE Corporate Actions — scrip 544022, ex-date 2024-08-09 (https://www.bseindia.com/corporates/corporate_act.aspx)"
R K Swamy Ltd,2.0,53.6,105.5,FY2025,2024-08-09,Rs 533 Cr,0.4,"BSE Corporate Actions — scrip 544136, ex-date 2024-08-09 (https://www.bseindia.com/corporates/corporate_act.aspx)"
Nuvama Wealth Management Ltd,81.5,262.2,1908.4,FY2025,2024-08-07,"Rs 35,098 Cr",0.9,"BSE Corporate Actions — scrip 543988, ex-date 2024-08-07 (https://www.bseindia.com/corporates/corporate_act.aspx)"
ESAF Small Finance Bank Ltd,0.7,N/A,38.64,FY2025,2024-08-07,"Rs 1,987 Cr",0.7,"BSE Corporate Actions — scrip 544020, ex-date 2024-08-07 (https://www.bseindia.com/corporates/corporate_act.aspx)"
Jupiter Life Line Hospitals Ltd,1.0,3.4,328.5,FY2025,2024-08-02,"Rs 10,643 Cr",0.9,"BSE Corporate Actions — scrip 543980, ex-date 2024-08-02 (https://www.bseindia.com/corporates/corporate_act.aspx)"
Goel Food Products Ltd,0.5,33.3,12.11,FY2025,2024-07-31,N/A,2.1,"BSE Corporate Actions — scrip 543538, ex-date 2024-07-31 (https://www.bseindia.com/corporates/corporate_act.aspx)"
Bondada Engineering Ltd,0.15,0.9,305.0,FY2025,2024-07-26,N/A,0.9,"BSE Corporate Actions — scrip 543971, ex-date 2024-07-26 (https://www.bseindia.com/corporates/corporate_act.aspx)"
Happy Forgings Ltd,4.0,12.5,1650.75,FY2025,2024-07-22,"Rs 15,582 Cr",0.6,"BSE Corporate Actions — scrip 544057, ex-date 2024-07-22 (https://www.bseindia.com/corporates/corporate_act.aspx)"
JSW Infrastructure Ltd,0.55,75.3,321.75,FY2025,2024-07-19,"Rs 74,840 Cr",0.8,"BSE Corporate Actions — scrip 543994, ex-date 2024-07-19 (https://www.bseindia.com/corporates/corporate_act.aspx)"
IRM Energy Ltd,1.5,10.8,258.45,FY2025,2024-07-12,"Rs 1,061 Cr",0.7,"BSE Corporate Actions — scrip 544004, ex-date 2024-07-12 (https://www.bseindia.com/corporates/corporate_act.aspx)"
Piramal Pharma Ltd,0.11,2.1,192.4,FY2025,2024-07-12,"Rs 25,595 Cr",1.7,"BSE Corporate Actions — scrip 543635, ex-date 2024-07-12 (https://www.bseindia.com/corporates/corporate_act.aspx)"
Utkarsh Small Finance Bank Ltd,0.5,N/A,14.5,FY2025,2024-07-12,"Rs 2,577 Cr",1.0,"BSE Corporate Actions — scrip 543942, ex-date 2024-07-12 (https://www.bseindia.com/corporates/corporate_act.aspx)"
GHCL Textiles Ltd,0.5,6.8,116.17,FY2025,2024-07-01,"Rs 1,110 Cr",1.1,"BSE Corporate Actions — scrip 543918, ex-date 2024-07-01 (https://www.bseindia.com/corporates/corporate_act.aspx)"
Aeroflex Industries Ltd,0.25,6.0,415.45,FY2025,2024-06-28,"Rs 5,518 Cr",0.8,"BSE Corporate Actions — scrip 543972, ex-date 2024-06-28 (https://www.bseindia.com/corporates/corporate_act.aspx)"
Concord Biotech Ltd,8.75,34.8,1257.0,FY2025,2024-06-21,"Rs 13,113 Cr",0.8,"BSE Corporate Actions — scrip 543960, ex-date 2024-06-21 (https://www.bseindia.com/corporates/corporate_act.aspx)"
Tata Technologies Ltd,8.4,63.2,712.65,FY2025,2024-06-13,"Rs 28,945 Cr",0.5,"BSE Corporate Actions — scrip 544028, ex-date 2024-06-13 (https://www.bseindia.com/corporates/corporate_act.aspx)"
Clara Industries Ltd,0.5,71.4,33.12,FY2025,2024-06-06,N/A,2.4,"BSE Corporate Actions — scrip 543435, ex-date 2024-06-06 (https://www.bseindia.com/corporates/corporate_act.aspx)"
Mafia Trends Ltd,0.1,9.3,5.29,FY2025,2024-05-03,N/A,1.6,"BSE Corporate Actions — scrip 543613, ex-date 2024-05-03 (https://www.bseindia.com/corporates/corporate_act.aspx)"
Sundaram-Clayton Ltd,5.15,2.1,1390.4,FY2025,2024-04-04,"Rs 3,065 Cr",0.3,"BSE Corporate Actions — scrip 544066, ex-date 2024-04-04 (https://www.bseindia.com/corporates/corporate_act.aspx)"
GPT Healthcare Ltd,1.0,19.4,165.15,FY2025,2024-04-02,"Rs 1,362 Cr",0.1,"BSE Corporate Actions — scrip 544131, ex-date 2024-04-02 (https://www.bseindia.com/corporates/corporate_act.aspx)"
