Company,Dividend Declared (Rs/Share),Dividend Payout %,CMP,FY,Announcement Date,Market Cap,Years Since Listing,Source
Interarch Building Solutions Ltd,12.5,15.6,1830.0,FY2026,2025-09-15,"Rs 3,069 Cr",1.1,"BSE Corporate Actions — scrip 544232, ex-date 2025-09-15 (https://www.bseindia.com/corporates/corporate_act.aspx)"
Storage Technologies and Automation Ltd,0.3,N/A,37.85,FY2026,2025-09-15,N/A,1.4,"BSE Corporate Actions — scrip 544171, ex-date 2025-09-15 (https://www.bseindia.com/corporates/corporate_act.aspx)"
Mamata Machinery Ltd,0.5,4.3,380.0,FY2026,2025-09-12,Rs 935 Cr,0.7,"BSE Corporate Actions — scrip 544318, ex-date 2025-09-12 (https://www.bseindia.com/corporates/corporate_act.aspx)"
Network People Services Technologies Ltd,2.0,10.2,1552.0,FY2026,2025-09-12,"Rs 3,238 Cr",4.0,"BSE Corporate Actions — scrip 544396, ex-date 2025-09-12 (https://www.bseindia.com/corporates/corporate_act.aspx)"
Pyramid Technoplast Ltd,0.5,6.4,196.35,FY2026,2025-09-12,Rs 722 Cr,2.0,"BSE Corporate Actions — scrip 543969, ex-date 2025-09-12 (https://www.bseindia.com/corporates/corporate_act.aspx)"
Indobell Insulations Ltd,2.0,156.2,70.0,FY2026,2025-09-10,N/A,0.7,"BSE Corporate Actions — scrip 544334, ex-date 2025-09-10 (https://www.bseindia.com/corporates/corporate_act.aspx)"
BLS E-Services Ltd,1.0,52.1,287.15,FY2026,2025-09-08,"Rs 2,609 Cr",1.6,"BSE Corporate Actions — scrip 544107, ex-date 2025-09-08 (https://www.bseindia.com/corporates/corporate_act.aspx)"
Mangal Compusolution Ltd,0.5,11.3,45.03,FY2026,2025-09-08,N/A,0.8,"BSE Corporate Actions — scrip 544287, ex-date 2025-09-08 (https://www.bseindia.com/corporates/corporate_act.aspx)"
Mach Travel Solutions Ltd,1.0,12.7,150.95,FY2026,2025-09-04,N/A,1.0,"BSE Corporate Actions — scrip 544248, ex-date 2025-09-04 (https://www.bseindia.com/corporates/corporate_act.aspx)"
Transrail Lighting Ltd,0.8,2.6,486.95,FY2026,2025-09-04,"Rs 6,538 Cr",0.7,"BSE Corporate Actions — scrip 544317, ex-date 2025-09-04 (https://www.bseindia.com/corporates/corporate_act.aspx)"
Carraro India Ltd,4.55,20.2,534.55,FY2026,2025-09-03,"Rs 3,039 Cr",0.7,"BSE Corporate Actions — scrip 544320, ex-date 2025-09-03 (https://www.bseindia.com/corporates/corporate_act.aspx)"
Yash Highvoltage Ltd,1.0,7.6,932.0,FY2026,2025-09-03,N/A,0.7,"BSE Corporate Actions — scrip 544310, ex-date 2025-09-03 (https://www.bseindia.com/corporates/corporate_act.aspx)"
Belrise Industries Ltd,0.55,10.2,231.25,FY2026,2025-08-22,"Rs 22,365 Cr",0.2,"BSE Corporate Actions — scrip 544405, ex-date 2025-08-22 (https://www.bseindia.com/corporates/corporate_act.aspx)"
Dhanashree Electronics Ltd,0.1,3.8,133.45,FY2026,2025-08-22,N/A,4.7,"BSE Corporate Actions — scrip 542679, ex-date 2025-08-22 (https://www.bseindia.com/corporates/corporate_act.aspx)"
Global Health Ltd,0.5,2.7,1410.05,FY2026,2025-08-22,"Rs 37,912 Cr",2.8,"BSE Corporate Actions — scrip 543654, ex-date 2025-08-22 (https://www.bseindia.com/corporates/corporate_act.aspx)"
Naturewings Holidays Ltd,1.5,30.7,70.0,FY2026,2025-08-22,N/A,0.9,"BSE Corporate Actions — scrip 544245, ex-date 2025-08-22 (https://www.bseindia.com/corporates/corporate_act.aspx)"
Rajesh Power Services Ltd,1.0,1.3,837.05,FY2026,2025-08-22,N/A,0.7,"BSE Corporate Actions — scrip 544291, ex-date 2025-08-22 (https://www.bseindia.com/corporates/corporate_act.aspx)"
ECOS (India) Mobility & Hospitality Ltd,2.4,25.2,132.4,FY2026,2025-08-20,Rs 794 Cr,1.0,"BSE Corporate Actions — scrip 544239, ex-date 2025-08-20 (https://www.bseindia.com/corporates/corporate_act.aspx)"
Denta Water and Infra Solutions Ltd,2.5,11.0,332.0,FY2026,2025-08-14,Rs 886 Cr,0.6,"BSE Corporate Actions — scrip 544345, ex-date 2025-08-14 (https://www.bseindia.com/corporates/corporate_act.aspx)"
Five-Star Business Finance Ltd,2.0,5.4,540.25,FY2026,2025-08-14,"Rs 15,948 Cr",2.7,"BSE Corporate Actions — scrip 543663, ex-date 2025-08-14 (https://www.bseindia.com/corporates/corporate_act.aspx)"
Emcure Pharmaceuticals Ltd,3.0,7.8,1920.0,FY2026,2025-08-14,"Rs 36,419 Cr",1.1,"BSE Corporate Actions — scrip 544210, ex-date 2025-08-14 (https://www.bseindia.com/corporates/corporate_act.aspx)"
Jio Financial Services Ltd,0.5,46.3,236.2,FY2026,2025-08-11,"Rs 1,55,966 Cr",2.0,"BSE Corporate Actions — scrip 543940, ex-date 2025-08-11 (https://www.bseindia.com/corporates/corporate_act.aspx)"
Flair Writing Industries Ltd,1.0,9.1,256.0,FY2026,2025-08-08,"Rs 2,698 Cr",1.7,"BSE Corporate Actions — scrip 544030, ex-date 2025-08-08 (https://www.bseindia.com/corporates/corporate_act.aspx)"
Mankind Pharma Ltd,1.0,2.0,2546.3,FY2026,2025-08-08,"Rs 1,05,161 Cr",2.3,"BSE Corporate Actions — scrip 543904, ex-date 2025-08-08 (https://www.bseindia.com/corporates/corporate_act.aspx)"
Paras Defence and Space Technologies Ltd,0.5,4.8,1220.0,FY2026,2025-08-08,"Rs 9,832 Cr",3.9,"BSE Corporate Actions — scrip 543367, ex-date 2025-08-08 (https://www.bseindia.com/corporates/corporate_act.aspx)"
Chembond Chemicals Ltd,1.25,28.1,240.0,FY2026,2025-08-07,Rs 646 Cr,0.0,"BSE Corporate Actions — scrip 544450, ex-date 2025-08-07 (https://www.bseindia.com/corporates/corporate_act.aspx)"
Indef Manufacturing Ltd,2.0,24.6,231.0,FY2026,2025-08-05,Rs 739 Cr,0.5,"BSE Corporate Actions — scrip 544364, ex-date 2025-08-05 (https://www.bseindia.com/corporates/corporate_act.aspx)"
Hyundai Motor India Ltd,21.0,32.1,1986.0,FY2026,2025-08-05,"Rs 1,61,371 Cr",0.8,"BSE Corporate Actions — scrip 544274, ex-date 2025-08-05 (https://www.bseindia.com/corporates/corporate_act.aspx)"
J.G.Chemicals Ltd,1.0,18.3,505.8,FY2026,2025-08-05,"Rs 1,982 Cr",1.4,"BSE Corporate Actions — scrip 544138, ex-date 2025-08-05 (https://www.bseindia.com/corporates/corporate_act.aspx)"
Arkade Developers Ltd,1.0,344.8,134.05,FY2026,2025-08-01,"Rs 2,489 Cr",0.9,"BSE Corporate Actions — scrip 544261, ex-date 2025-08-01 (https://www.bseindia.com/corporates/corporate_act.aspx)"
OCCL Ltd,1.5,15.7,152.25,FY2026,2025-07-21,Rs 760 Cr,0.7,"BSE Corporate Actions — scrip 544278, ex-date 2025-07-21 (https://www.bseindia.com/corporates/corporate_act.aspx)"
Afcons Infrastructure Ltd,2.5,49.5,284.95,FY2026,2025-07-18,"Rs 10,438 Cr",0.7,"BSE Corporate Actions — scrip 544280, ex-date 2025-07-18 (https://www.bseindia.com/corporates/corporate_act.aspx)"
Diffusion Engineers Ltd,1.5,12.6,406.4,FY2026,2025-07-10,"Rs 1,521 Cr",0.8,"BSE Corporate Actions — scrip 544264, ex-date 2025-07-10 (https://www.bseindia.com/corporates/corporate_act.aspx)"
India Shelter Finance Corporation Ltd,5.0,10.8,727.4,FY2026,2025-07-04,"Rs 7,888 Cr",1.5,"BSE Corporate Actions — scrip 544044, ex-date 2025-07-04 (https://www.bseindia.com/corporates/corporate_act.aspx)"
Shine Fashions (India) Ltd,0.125,10.9,25.0,FY2026,2025-07-04,N/A,4.7,"BSE Corporate Actions — scrip 543244, ex-date 2025-07-04 (https://www.bseindia.com/corporates/corporate_act.aspx)"
Allied Blenders and Distillers Ltd,3.6,36.5,622.1,FY2026,2025-06-27,"Rs 17,406 Cr",1.0,"BSE Corporate Actions — scrip 544203, ex-date 2025-06-27 (https://www.bseindia.com/corporates/corporate_act.aspx)"
DAM Capital Advisors Ltd,1.0,9.7,157.25,FY2026,2025-06-13,"Rs 1,106 Cr",0.5,"BSE Corporate Actions — scrip 544316, ex-date 2025-06-13 (https://www.bseindia.com/corporates/corporate_act.aspx)"
Indegene Ltd,2.0,22.8,505.45,FY2026,2025-06-13,"Rs 12,252 Cr",1.1,"BSE Corporate Actions — scrip 544172, ex-date 2025-06-13 (https://www.bseindia.com/corporates/corporate_act.aspx)"
Toss The Coin Ltd,0.5,3.5,214.0,FY2026,2025-06-06,N/A,0.5,"BSE Corporate Actions — scrip 544303, ex-date 2025-06-06 (https://www.bseindia.com/corporates/corporate_act.aspx)"
INOX India Ltd,2.0,7.2,1993.9,FY2026,2025-06-04,"Rs 18,016 Cr",1.5,"BSE Corporate Actions — scrip 544046, ex-date 2025-06-04 (https://www.bseindia.com/corporates/corporate_act.aspx)"
Keystone Realtors Ltd,1.5,46.4,412.6,FY2026,2025-05-23,"Rs 5,209 Cr",2.5,"BSE Corporate Actions — scrip 543669, ex-date 2025-05-23 (https://www.bseindia.com/corporates/corporate_act.aspx)"
Fabtech Technologies Cleanrooms Ltd,2.0,27.2,370.4,FY2026,2025-05-16,N/A,0.3,"BSE Corporate Actions — scrip 544332, ex-date 2025-05-16 (https://www.bseindia.com/corporates/corporate_act.aspx)"
Forbes Precision Tools and Machine Parts Ltd,5.0,89.8,135.0,FY2026,2025-05-02,N/A,0.9,"BSE Corporate Actions — scrip 544186, ex-date 2025-05-02 (https://www.bseindia.com/corporates/corporate_act.aspx)"
ACME Solar Holdings Ltd,0.2,4.2,361.0,FY2026,2025-05-02,"Rs 25,518 Cr",0.5,"BSE Corporate Actions — scrip 544283, ex-date 2025-05-02 (https://www.bseindia.com/corporates/corporate_act.aspx)"
Sanofi Consumer Healthcare India Ltd,55.0,49.1,4671.45,FY2026,2025-04-17,"Rs 10,773 Cr",0.6,"BSE Corporate Actions — scrip 544250, ex-date 2025-04-17 (https://www.bseindia.com/corporates/corporate_act.aspx)"
Hexaware Technologies Ltd,5.75,38.5,554.5,FY2026,2025-04-15,"Rs 34,394 Cr",0.2,"BSE Corporate Actions — scrip 544362, ex-date 2025-04-15 (https://www.bseindia.com/corporates/corporate_act.aspx)"
Unifinz Capital India Ltd,0.5,2.5,110.95,FY2026,2025-04-04,N/A,4.4,"BSE Corporate Actions — scrip 541358, ex-date 2025-04-04 (https://www.bseindia.com/corporates/corporate_act.aspx)"
Acceleratebs India Ltd,0.8,32.9,100.23,FY2025,2025-03-21,N/A,1.7,"BSE Corporate Actions — scrip 543938, ex-date 2025-03-21 (https://www.bseindia.com/corporates/corporate_act.aspx)"
G R Infraprojects Ltd,12.5,12.1,876.6,FY2025,2025-03-13,"Rs 8,482 Cr",3.6,"BSE Corporate Actions — scrip 543317, ex-date 2025-03-13 (https://www.bseindia.com/corporates/corporate_act.aspx)"
International Gemological Institute Ltd,2.44,17.6,329.5,FY2025,2025-02-28,"Rs 14,266 Cr",0.2,"BSE Corporate Actions — scrip 544311, ex-date 2025-02-28 (https://www.bseindia.com/corporates/corporate_act.aspx)"
Saraswati Saree Depot Ltd,2.27,38.4,52.63,FY2025,2025-02-18,Rs 211 Cr,0.5,"BSE Corporate Actions — scrip 544230, ex-date 2025-02-18 (https://www.bseindia.com/corporates/corporate_act.aspx)"
Campus Activewear Ltd,0.7,14.3,219.5,FY2025,2025-02-17,"Rs 6,694 Cr",2.8,"BSE Corporate Actions — scrip 543523, ex-date 2025-02-17 (https://www.bseindia.com/corporates/corporate_act.aspx)"
Garuda Construction and Engineering Ltd,0.025,0.2,172.15,FY2025,2025-02-17,"Rs 1,602 Cr",0.3,"BSE Corporate Actions — scrip 544271, ex-date 2025-02-17 (https://www.bseindia.com/corporates/corporate_act.aspx)"
